"","title","type","text"
"314","The Tragedy of Romeo and Juliet","Tragedy","    Where, underneath the grove of sycamore"
"315","The Tragedy of Romeo and Juliet","Tragedy","    That westward rooteth from the city's side,"
"316","The Tragedy of Romeo and Juliet","Tragedy","    So early walking did I see your son."
"317","The Tragedy of Romeo and Juliet","Tragedy","    Towards him I made; but he was ware of me"
"318","The Tragedy of Romeo and Juliet","Tragedy","    And stole into the covert of the wood."
"319","The Tragedy of Romeo and Juliet","Tragedy","    I- measuring his affections by my own,"
"320","The Tragedy of Romeo and Juliet","Tragedy","    Which then most sought where most might not be found,"
"321","The Tragedy of Romeo and Juliet","Tragedy","    Being one too many by my weary self-"
"322","The Tragedy of Romeo and Juliet","Tragedy","    Pursu'd my humour, not Pursuing his,"
"323","The Tragedy of Romeo and Juliet","Tragedy","    And gladly shunn'd who gladly fled from me."
"324","The Tragedy of Romeo and Juliet","Tragedy",""
"325","The Tragedy of Romeo and Juliet","Tragedy","  Mon. Many a morning hath he there been seen,"
"326","The Tragedy of Romeo and Juliet","Tragedy","    With tears augmenting the fresh morning's dew,"
"327","The Tragedy of Romeo and Juliet","Tragedy","    Adding to clouds more clouds with his deep sighs;"
"328","The Tragedy of Romeo and Juliet","Tragedy","    But all so soon as the all-cheering sun"
"329","The Tragedy of Romeo and Juliet","Tragedy","    Should in the furthest East bean to draw"
"330","The Tragedy of Romeo and Juliet","Tragedy","    The shady curtains from Aurora's bed,"
"331","The Tragedy of Romeo and Juliet","Tragedy","    Away from light steals home my heavy son"
"332","The Tragedy of Romeo and Juliet","Tragedy","    And private in his chamber pens himself,"
"333","The Tragedy of Romeo and Juliet","Tragedy","    Shuts up his windows, locks fair daylight"
"334","The Tragedy of Romeo and Juliet","Tragedy","    And makes himself an artificial night."
"335","The Tragedy of Romeo and Juliet","Tragedy","    Black and portentous must this humour prove"
"336","The Tragedy of Romeo and Juliet","Tragedy","    Unless good counsel may the cause remove."
"337","The Tragedy of Romeo and Juliet","Tragedy",""
"338","The Tragedy of Romeo and Juliet","Tragedy","  Ben. My noble uncle, do you know the cause?"
"339","The Tragedy of Romeo and Juliet","Tragedy",""
"340","The Tragedy of Romeo and Juliet","Tragedy","  Mon. I neither know it nor can learn of him"
"341","The Tragedy of Romeo and Juliet","Tragedy",""
"342","The Tragedy of Romeo and Juliet","Tragedy","  Ben. Have you importun'd him by any means?"
"343","The Tragedy of Romeo and Juliet","Tragedy",""
"344","The Tragedy of Romeo and Juliet","Tragedy","  Mon. Both by myself and many other friend;"
"345","The Tragedy of Romeo and Juliet","Tragedy","    But he, his own affections' counsellor,"
"346","The Tragedy of Romeo and Juliet","Tragedy","    Is to himself- I will not say how true-"
"347","The Tragedy of Romeo and Juliet","Tragedy","    But to himself so secret and so close,"
"348","The Tragedy of Romeo and Juliet","Tragedy","    So far from sounding and discovery,"
"349","The Tragedy of Romeo and Juliet","Tragedy","    As is the bud bit with an envious worm"
"350","The Tragedy of Romeo and Juliet","Tragedy","    Ere he can spread his sweet leaves to the air"
"351","The Tragedy of Romeo and Juliet","Tragedy","    Or dedicate his beauty to the sun."
"352","The Tragedy of Romeo and Juliet","Tragedy","    Could we but learn from whence his sorrows grow,"
"353","The Tragedy of Romeo and Juliet","Tragedy","    We would as willingly give cure as know."
"354","The Tragedy of Romeo and Juliet","Tragedy",""
"355","The Tragedy of Romeo and Juliet","Tragedy","                       Enter Romeo."
"356","The Tragedy of Romeo and Juliet","Tragedy",""
"357","The Tragedy of Romeo and Juliet","Tragedy",""
"358","The Tragedy of Romeo and Juliet","Tragedy","  Ben. See, where he comes. So please you step aside,"
"359","The Tragedy of Romeo and Juliet","Tragedy","    I'll know his grievance, or be much denied."
